Anelloviridae.pbmc,HSV1.nasal,CMV.pbmc,EBV.nasal,EBV.pbmc
2.2656109199103756,0,3.0378857784089233,0,2.089884262614811
2.830180544734317,0,2.075344823026563,0,0
2.7940035264413825,0,2.4034748749910566,0,0
2.3714937361622455,0,0,0,0
2.941407440623112,0,4.3977466096214135,0,0
2.2652656072815027,3.3502461646116535,0,0,0
2.3743907021929207,0,2.95594483653947,0,0
2.0312711415662035,0,2.6599283295923595,0,0
3.675708273872296,0,3.5509168672109213,0,0
2.3220094054892106,3.9929233287353174,2.861386140944059,0,0
0,2.786615308035823,0,2.5097104156715995,0
0,-3.3502461646116535,-3.029318553707308,0,0
0,2.6396752931515617,3.676326153388738,0,0
0,-2.8456556483618365,-3.5725199089748605,0,0
0,-2.2928424348867154,-2.188648313882289,0,0
0,2.4351376787070462,3.0093872357889278,0,0
0,-2.5341348963410475,0,0,0
0,-3.071040016601671,0,0,0
0,2.9832789208291626,3.5725199089748605,0,0
0,2.3537704667933523,0,0,0
0,-2.3314663409666694,0,0,0
0,15.698970004336019,-2.867064183059421,-2.125264901694002,-2.363026731620061
0,2.5210778032885073,2.9450945566145377,0,2.0139773291652183
0,-3.071040016601671,-4.300305068348358,0,-2.3781015637029967
0,-2.9832789208291626,-4.3249223429385735,0,0
0,-2.5341348963410475,-3.580455988121388,0,0
0,-2.263096873321035,-3.255155075180502,0,0
0,-2.9592632569675925,-2.520295094298615,0,0
0,-3.3502461646116535,-4.14550211204513,-2.047541779989076,0
0,-2.9412952934433707,0,0,0
0,-2.647322087496185,0,0,0
0,-3.3502461646116535,-15.698970004336019,0,0
0,-2.3402448295084524,-4.186055741430247,-2.4094460795902086,0
0,-2.3131869213514813,-3.209239305484873,0,0
0,-2.836386225189722,-2.1900342276456857,-2.5097104156715995,0
0,-2.2667465244841893,0,0,0
0,-2.080777444554399,-3.1775037345552084,0,-2.3850360477427532
0,2.8661161596465448,0,3.4009312159038183,0
0,2.2367364771277614,0,0,0
0,-2.9412952934433707,0,0,0
0,-2.5472255863541418,0,0,0
0,2.786615308035823,4.300305068348358,2.125264901694002,0
0,-2.080777444554399,0,0,0
0,-2.5210778032885073,-2.915516306494029,0,0
0,2.3431019334413863,0,0,0
0,-2.0327943174476886,-2.767441423879603,0,0
0,-2.568738916172419,-2.6920976858709915,0,0
0,2.5341348963410475,3.619392974954624,2.0887157357300286,0
0,3.0935436647494705,2.7937569777938367,0,0
0,0,2.2589639038612583,0,0
0,0,3.0378857784089233,0,0
0,0,-3.5169373397309296,0,0
0,0,2.0718646593120655,0,0
0,0,3.0659307094929096,0,0
0,0,-3.218496582460643,0,0
0,0,2.162991574027296,0,0
0,0,2.058360192702852,0,0
0,0,3.8527119878886698,0,0
0,0,2.072081567443318,0,0
0,0,2.8075627072706375,0,0
0,0,-2.1093547851701544,0,0
0,0,2.8784703793776867,0,0
0,0,2.3176017278996466,0,0
0,0,2.33176760794536,2.4094460795902086,0
0,0,2.1231055570445068,0,0
0,0,2.2367139782900263,0,0
0,0,2.030087542190018,0,0
0,0,-2.162991574027296,0,0
0,0,-2.0402021924217784,0,0
0,0,-2.017374108151125,0,0
0,0,2.861386140944059,0,0
0,0,2.141379776552827,0,0
0,0,2.2625688119141913,0,0
0,0,2.8453847118651967,0,0
0,0,-2.3432799675067306,0,0
0,0,2.2833443056694254,0,0
0,0,2.310736822689906,0,0
0,0,2.030087542190018,0,0
0,0,-2.2447865831717784,0,0
0,0,-3.5211939810761113,0,0
0,0,-2.541386814876182,0,0
0,0,-2.9450945566145377,0,0
0,0,2.4018276455507537,0,0
0,0,-3.690125353115808,-2.0887157357300286,0
0,0,2.4269482333939325,0,0
0,0,3.126273977038931,0,0
0,0,-3.752040873162621,0,0
0,0,-2.5207626050591174,0,0
0,0,-15.698970004336019,0,0
0,0,-3.4386070411616703,0,0
0,0,2.442955251376722,0,0
0,0,2.141379776552827,0,0
0,0,-2.114243601167484,0,0
0,0,-2.5218254923812884,0,0
0,0,-2.2029975154869663,0,0
0,0,2.7405508129497513,0,0
